SNP	PVALUE
rs4628522	0.06813
rs1251577	0.2852
rs6690837	0.4829
rs4233125	0.8324
rs1185303	0.2579
rs6690763	0.6437
rs628959	0.07706
rs6659011	0.7231
rs12063969	0.6586
rs3738172	0.08128
rs546126	0.9129
rs7518011	0.1078
rs10927729	0.7217
rs10749736	0.2967
rs3125168	0.9437
rs10916360	0.16236
rs12562400	0.855
rs10799149	0.402
rs12758819	0.8503
rs12137938	0.4395
rs1917542	0.099
rs4845313	0.5904
rs4653591	0.9236
rs10890176	0.6428
rs10916340	0.02409
rs2360964	0.5994
rs7527044	0.1274
rs6678134	0.9811
rs11581227	0.9423
rs10800486	0.9183
rs7553815	0.05843
rs4950344	0.245
rs10737615	0.3514
rs4950973	0.11288
rs13375398	0.5739
rs2753320	0.7991
rs1325738	0.742
rs7554161	0.7743
rs9333464	0.3087
rs10493042	0.697
rs12129521	0.5307
rs1336861	0.1542
rs12753993	0.9518
rs7551008	0.03346
rs950779	0.0665
rs10793737	0.09216
rs11165147	0.5161
rs1702311	0.1657
rs4654974	0.5261
rs3014976	0.6184
rs1933107	0.4228
rs3122429	0.1163
rs12737686	0.2646
rs10493219	0.7118
rs7556609	0.3576
rs9429486	0.2883
rs1463048	0.2983
rs320025	0.7072
rs3103181	0.8919
rs4271177	0.9114
rs11588896	0.5041
rs642961	0.2242
rs319954	0.6669
rs6673098	0.9666
rs6662892	0.3001
rs10923805	0.1006
rs2235438	0.5527
rs17094315	0.5527
rs3895907	0.04348
rs11576493	0.06558
rs12035312	0.7494
rs16861608	0.8797
rs12027724	0.8269
rs360661	0.12958
rs1249558	0.1964
rs2799564	0.3727
rs4397643	0.9496
rs2800426	0.0701
rs12139273	0.3087
rs11184985	0.6003
rs6686613	0.6389
rs17348839	0.2377
rs7513526	0.2351
rs11587324	0.08368
rs2815849	0.012884
rs12401738	0.6021
rs6683451	0.004527
rs12742047	0.861
rs355020	0.17986
rs7554526	0.5879
rs2789812	0.5135
rs1413213	0.2345
rs17420502	0.11836
rs1450819	0.4236
rs10801177	0.01501
rs2811247	0.01691
rs1152771	0.6969
rs12402316	0.6386
rs1539091	0.2186
rs11588257	0.3496
rs3218148	0.114
rs6682150	0.6789
rs3010147	0.6527
rs4661138	0.8248
rs10218703	0.1894
rs841326	0.2584
rs8027	0.4119
rs1938405	0.03464
rs2076004	0.2297
rs11582038	0.3715
rs4469689	0.07094
rs2179965	0.7746
rs12045761	0.627
rs10926859	0.0005759
rs1394066	0.03535
rs3008241	0.64
rs17121432	0.1791
rs6662427	0.6717
rs2761581	0.17942
rs16826038	0.0002604
rs868966	0.1267
rs6670378	0.06549
rs2031399	0.3594
rs477830	0.8524
rs12119879	0.06808
rs1220383	0.351
rs6664473	0.8963
rs3107604	0.11068
rs310103	0.02208
rs12116455	0.3888
rs7536328	0.9833
rs11579321	0.001783
rs12037787	0.3936
rs7555277	0.5158
rs9804135	0.8344
rs845225	0.8494
rs12403346	0.286
rs11579964	0.12702
rs10799344	0.2294
rs1446954	0.8068
rs12064230	0.1645
rs12022663	0.17094
rs4625257	0.3572
rs10924047	0.3643
rs3010356	0.6627
rs12568055	0.5843
rs2489821	0.133
rs7553700	0.4482
rs6424579	0.007133
rs6668242	0.5278
rs6669703	0.07946
rs16848502	0.7341
rs2251802	0.77
rs12723299	0.4851
rs583682	0.6433
rs17111503	0.6877
rs1885646	0.07715
rs2055681	0.4379
rs214340	0.6495
rs2816936	0.04686
rs11583516	0.4953
rs10789152	0.7344
rs7556065	0.07391
rs17365681	0.1329
rs4970420	0.9244
rs10889109	0.0532
rs4281283	0.7218
rs1858483	0.6534
rs10493716	0.7835
rs11572768	0.8204
rs11210308	0.9325
rs516462	0.02402
rs10919956	0.3802
rs17671918	0.14514
rs11165057	0.14398
rs7535882	0.7045
rs6424781	0.6266
rs11809743	0.53
rs586057	0.000122
rs10922970	0.9611
rs9804101	0.8219
rs11578770	0.16996
rs1414406	0.08341
rs11102192	0.9062
rs781770	0.9714
rs1409052	0.1346
rs10926624	0.4572
rs11162028	0.1615
rs17118797	0.5638
rs2938339	0.1725
rs2798104	0.1237
rs2797258	0.1079
rs7524134	0.8618
rs6671004	0.0602
rs1175175	0.9778
rs9434881	0.7796
rs3120780	0.7252
rs6703812	0.8285
rs6658501	0.06104
rs7527322	0.5023
rs12035706	0.8826
rs11120146	0.49
rs11165068	0.8949
rs12039775	0.9352
rs10442656	0.06356
rs3737975	0.1677
rs11588368	0.7181
rs6428308	0.3943
rs4339853	0.535
rs7527477	0.10448
rs1080901	0.5788
rs12759271	0.0911
rs10458519	0.3913
rs1008505	0.07535
rs1342036	0.2844
rs512005	0.4679
rs494022	0.2657
rs6673075	0.6204
rs2660308	0.7648
rs12086745	0.1413
rs7522274	0.226
rs12730244	0.3651
rs571199	0.5201
rs514437	0.0453
rs11118564	0.1636
rs17481083	0.2779
rs6695335	0.05163
rs509551	0.913
rs539147	0.3809
rs10900349	0.7358
rs12120700	0.02228
rs2986558	0.8322
rs2071424	0.3263
rs11204609	0.5698
rs12039818	0.6045
rs6668206	0.09726
rs273259	0.8793
rs12138346	0.808
rs10923633	0.4923
rs213743	0.7395
rs10925722	0.049
rs6659894	0.6906
rs830308	0.05866
rs4970737	0.5279
rs357233	0.5027
rs2235651	0.6158
rs1909885	0.4644
rs6577142	0.004508
rs7551442	0.1493
rs716289	0.16888
rs12730151	0.4924
rs7521151	0.72
rs12082717	0.6679
rs589939	0.2838
rs12034535	0.08848
rs1983900	0.3648
rs4233083	0.7753
rs4999127	0.5027
rs12067005	0.02035
rs3001073	0.8946
rs1249786	0.1944
rs11583062	0.7369
rs11208154	0.9284
rs4658512	0.8946
rs7550380	0.3437
rs7530320	0.866
rs1505569	0.5062
rs1937008	0.13326
rs12123799	0.007841
rs594540	0.17576
rs4442348	0.5961
rs2490356	0.2588
rs684382	0.6981
rs12066353	0.9916
rs6661861	0.4063
rs9659684	0.01773
rs12728129	0.4058
rs7544563	0.5462
rs3844081	0.3148
rs1202804	0.03218
rs11209529	0.2083
rs822497	0.1201
rs17405156	0.3973
rs11582259	0.9298
rs6663669	0.343
rs6668002	0.4976
rs1763612	0.7175
rs10798937	0.2864
rs2279638	0.0796
rs10863684	0.8666
rs2815210	0.18994
rs12080201	0.18512
rs1188461	0.4945
rs1148823	0.2239
rs4987302	0.9569
rs17414449	0.3968
rs1077561	0.7201
rs12122051	0.5929
rs2816974	0.8478
rs199930	0.9333
rs4658186	0.4272
rs1076625	0.3443
rs12567310	0.159
rs12739875	0.7994
rs10754535	0.4979
rs2048839	0.19078
rs315067	0.03186
rs3862229	0.2559
rs11118295	0.124
rs3767154	0.1816
rs6684364	0.8746
rs10926393	0.06538
rs11164836	0.0904
rs493336	0.1961
rs12564258	0.3297
rs4465223	0.2142
rs1415995	0.9237
rs1217228	0.6304
rs12035880	0.2534
rs12736656	0.948
rs1745384	0.9434
