SNP	PVALUE
rs11204988	0.6982799004
rs10874731	0.2877517804
rs7550358	0.2837843681
rs1395455	0.8748397171
rs594397	0.3312831332
rs783036	0.5573159744
rs17483288	0.1814085065
rs11588364	0.1248592826
rs6701369	0.8890004611
rs1157469	0.9843206819
rs4838922	0.8803481059
rs10796900	0.2246555031
rs7411058	0.5926025166
rs10916075	0.8620537788
rs10493838	0.7629063069
rs3128685	0.293784839
rs696953	0.0139063113
rs6657506	0.1947588561
rs540282	0.8830579018
rs17095234	0.0586297426
rs1590450	0.1357395451
rs6665484	0.6872073036
rs2027469	0.6989935511
rs318416	0.9469402824
rs260512	0.4446435825
rs6689115	0.739273764
rs1114737	0.2372173394
rs17116141	0.0531308959
rs9436803	0.0177057365
rs12068986	0.9669840036
rs3000609	0.562832233
rs12025113	0.7115580006
rs6662904	0.8355203096
rs547699	0.9819686652
rs12126241	0.6470173599
rs305452	0.4911546293
rs269353	0.1682597174
rs1633149	0.6754863975
rs1891181	0.6523279612
rs7512748	0.0256055596
rs12731388	0.9946865496
rs346707	0.581709439
rs2275081	0.6865805713
rs9919268	0.1352095849
rs12144263	0.0259319718
rs16836958	0.6368301278
rs232809	0.3258084928
rs2088460	0.1016444301
rs12729696	0.8802606858
rs2689982	0.7193869543
rs7528998	0.7239198881
rs11576173	0.647476942
rs11260977	0.7886716838
rs4949766	0.7543292441
rs12745528	0.5963995361
rs11806506	0.3627517234
rs10493106	0.412597306
rs697762	0.4539003438
rs863360	0.3441869415
rs4650568	0.2744448779
rs11102384	0.4183079811
rs3738435	0.992334675
rs4915332	0.5933017322
rs4508052	0.1203420224
rs1856107	0.7167055285
rs4654849	0.5176164478
rs380389	0.0618366168
rs2341973	0.0661820903
rs12035411	0.4836308293
rs2274905	0.372181397
rs1361744	0.3695102022
rs4846301	0.7239198881
rs1771367	0.6032247341
rs6690903	0.5733820609
rs6672340	0.1351187703
rs7513257	0.5996770264
rs10900580	0.7505583542
rs2796534	0.3706978689
rs12117541	0.1515403966
rs1418461	0.2901474077
rs10912854	0.1957759013
rs1951743	0.6074962185
rs16823426	0.0202004887
rs2004962	0.4689952645
rs562061	0.316028305
rs764918	0.7597054382
rs10749856	0.0117060654
rs4915566	0.9353451675
rs6672804	0.8583026173
rs565722	0.2687445715
rs16836053	0.1440660792
rs12023710	0.6001683991
rs6582935	0.0843127915
rs3795462	0.3732685769
rs1570703	0.0562017289
rs12067580	0.860753748
rs4074585	0.0548286384
rs6659377	0.6205571219
rs17131347	0.4538027641
rs6604997	0.4209164628
rs7536765	0.6402583195
rs477717	0.000268635499999996
rs6699955	0.4774698258
rs9436717	0.982752676
rs1554597	0.3267222433
rs259647	0.7184977776
rs12134914	0.7789747111
rs2999878	0.5845421711
rs3795517	0.3368558428
rs2391069	0.7198370347
rs12032610	0.5092261144
rs12120622	0.7835906504
rs16834563	0.8074194588
rs2478545	0.2731657819
rs6704024	0.8688045031
rs11210406	0.511279187
rs835016	0.1514679142
rs2494251	0.3866595969
rs3768486	0.0300986261
rs9308447	0.2403555226
rs2488769	0.4597004293
rs2737680	0.8386772567
rs7527596	0.7524710979
rs17475774	0.1234385677
rs10797076	0.1607986273
rs7528063	0.6396269948
rs621181	0.4474139788
rs6669563	0.9164170965
rs12753193	0.3676281841
rs6424579	0.0670721946
rs710133	0.3540518188
rs11102469	0.6705580041
rs1597847	0.1378450008
rs6678175	0.8330643245
rs6537785	0.4015204667
rs10890285	0.2581176724
rs12029549	0.7937804104
rs7546329	0.2393905135
rs12722864	0.8099691717
rs6424422	0.950339641
rs7548269	0.8368358057
rs310169	0.4133725016
rs12738487	0.2308895362
rs6427893	0.9866726553
rs2353986	0.7783572663
rs7512828	0.4269358433
rs10881442	0.1403488903
rs542749	0.7928997983
rs1032602	0.9350835763
rs2618651	0.9954705042
rs1983833	0.7997663768
rs12131882	0.5524362425
rs11207575	0.4382309611
rs277667	0.2205495615
rs6684598	0.3341066348
rs12756679	0.6872073036
rs17491275	0.6976553865
rs671944	0.4965347463
rs10803140	0.4404342239
rs10864018	0.6921211144
rs10921670	0.6059517088
rs12038194	0.5063308041
rs12121835	0.5503165349
rs1544149	0.1269954973
rs6541261	0.5125849748
rs17472030	0.0246135021
rs6541035	0.4096878691
rs10159427	0.0792735802
rs12072138	0.2884813353
rs10489322	0.3687180052
rs823122	0.4951501374
rs541021	0.522740744
rs12723928	0.4193710619
rs382422	0.1717847982
rs6697232	0.640979732
rs2296697	0.375835804
rs511584	0.6534973368
rs10920843	0.0798757187
rs531641	0.9055945084
rs12078733	0.096773075
rs12403236	0.9643700676
rs11806668	0.78135587
rs12126388	0.6193796001
rs618713	0.192707973
rs11810068	0.8234107164
rs794238	0.9875437469
rs6688139	0.5978565187
rs4657673	0.4592253138
rs12754311	0.5598912708
rs1109113	0.3381508141
rs4652671	0.8415703994
rs4426040	0.6011583139
rs16853414	0.9441508365
rs1317915	0.8263954433
rs2787960	0.6623938002
rs3922806	0.8646046662
rs12123695	0.6306892719
rs12071269	0.7669705235
rs701179	0.7219648859
rs1418027	0.9786583335
rs4951580	0.6915852639
rs10737874	0.7876143475
rs869676	0.605769965
rs12032556	0.5855468452
rs7541761	0.4101730456
rs4511159	0.8495449768
rs10911498	0.5370158117
rs4655576	0.2328574742
rs11118729	0.6763819915
rs7547772	0.6011328596
rs12747496	0.68944137
rs3767208	0.9196454338
rs7551550	0.7541522974
rs12058420	0.0872514499
rs11209589	0.347998707
rs12750742	0.8952030778
rs606403	0.2985997906
rs2057596	0.1731900017
rs10493365	0.7797303715
rs1489391	0.5073159744
rs12139753	0.7746516576
rs3118050	0.0816015661
rs4915914	0.08828986
rs7535780	0.6390857933
rs562914	0.26736835
rs17679570	0.4249681236
rs2230471	0.3101914421
rs12044370	0.9607974898
rs12122300	0.2642927104
rs17685281	0.591022433
rs10796991	0.4253536205
rs16833337	0.2528884954
rs3121907	0.7296803081
rs3790460	0.0401956711
rs3992066	0.329257679
rs17032907	0.1898510223
rs7529557	0.2430748122
rs608930	0.8773755589
rs12402376	0.5631244421
rs282001	0.7665288603
rs647995	0.1115548744
rs4652316	0.3118321649
rs12129172	0.8037256149
rs12117649	0.5068914021
rs10798203	0.9129265084
rs11119499	0.7265848784
rs962376	0.2186678823
rs7525471	0.5016550949
rs2789894	0.6695717869
rs4845767	0.796245681
rs10889170	0.8988712647
rs4927028	0.6985763549
rs839549	0.8214789906
rs2455738	0.0027710461
rs6428569	0.6590706592
rs626398	0.1414677736
rs9943162	0.6436840715
rs17482203	0.4850717717
rs10801903	0.4285315049
rs12749631	0.824752267
rs821616	0.6141222365
rs1984027	0.8101449902
rs4949959	0.8131169343
rs10801728	0.3803694245
rs17095153	0.0605592534
rs6679745	0.1149811928
rs10873772	0.9507754351
rs4908434	0.1188568469
rs1395753	0.0583835332
rs10910380	0.2213233056
rs6704503	0.8644296469
rs561233	0.9349091808
rs16824749	0.6495383511
rs7522043	0.1916806196
rs2877438	0.7442366239
rs1132790	0.0899448474
rs3766197	0.6960491941
rs1034250	0.4590352431
rs661000	0.1527713166
rs592232	0.5841767718
rs12049613	0.1054410959
rs3790948	0.279257679
rs3915910	0.3406685117
rs4970535	0.9864984364
rs2889269	0.7115580006
rs542349	0.6491782879
rs2066152	0.1191901313
rs10754490	0.7390077997
rs4650945	0.3514020899
rs10802189	0.5132376618
rs699778	0.3410709909
rs11209842	0.4275689722
rs10914953	0.3404672358
rs1327107	0.3101914421
rs10802813	0.3560958763
rs9308252	0.5701743898
rs1496042	0.0669385541
rs7419237	0.3481990915
rs7516409	0.1014309785
rs9308476	0.2814947722
rs16856750	0.5954886603
rs947129	0.9210413401
rs6695758	0.0819399645
rs3767001	0.6715440407
rs7520109	0.1291323627
rs2273311	0.8050450034
rs6660091	0.244912277
rs16863397	0.7514976014
rs7542874	0.9306361761
rs1015419	0.2002035387
rs12405102	0.2363468184
rs11205382	-0.0242022956
rs3910715	0.9805748544
rs2887480	0.7581326136
rs488393	0.6426025166
rs4660575	0.4707935477
rs12029110	0.7128179314
rs1333070	0.0334887417
rs513287	0.1885907765
rs17129129	0.2760237144
rs357222	0.0955421737
rs6586542	0.5313656964
rs2370851	0.5914783953
rs12098218	0.0016875297
rs10800335	0.5545546816
rs12401956	0.5269128932
rs10493059	0.8895247078
rs10518671	0.868104613
rs330750	0.3224535187
rs945082	0.8903984181
rs4654492	0.9385712803
rs2248967	0.9409252675
rs1148759	0.04938544
rs1316909	0.9816202142
rs2235656	0.2250727939
rs487646	0.8812466433
rs17370490	0.08775028
rs1339429	0.0036805677
rs7539657	0.4700365232
rs10926958	0.8038135796
rs321267	0.4275689722
rs17591849	0.8880481491
rs17442550	0.6796944282
rs4652871	0.0420049167
rs6588054	0.4937832895
rs2275458	0.2851429745
rs12120462	0.4580846791
rs876536	0.8991332514
rs6670486	0.0906046573
rs11590461	0.3254485941
rs7556176	0.213668936
rs12118248	0.6023153514
rs12039212	0.2259529579
rs12067018	0.4841016536
rs285419	0.329257679
rs10489928	0.2688503709
rs167988	0.5418248044
rs10737608	0.8906605229
rs1492064	0.1888200586
rs4362022	0.9155444984
rs12131251	0.1904232131
rs2802840	0.5273770104
rs10912264	0.3073157782
rs4845837	0.7692667856
rs10754840	0.9594903878
rs1077323	0.3286495428
rs10919874	0.3960579198
rs2185105	0.2278207313
rs7539742	0.0177270361
rs7522267	0.7694433944
rs6669529	0.6584417169
rs6426783	0.8635545184
rs12408132	0.9814459882
rs590891	0.4163738087
rs10495337	0.3337103236
rs2184184	0.4829715424
rs1935229	0.2456517748
rs10888977	0.5258916017
rs12410878	0.5164990428
rs4845142	0.6431433241
rs17431265	0.6763819915
rs7547288	0.8781624625
rs11121891	0.2851429745
rs12132841	0.0081079527
rs1578435	0.0879994223
rs908624	0.2313271821
rs2883926	0.6680472765
rs762485	0.1280256838
rs11184191	0.2715979815
rs12728909	0.9693364493
rs6684215	0.3015473283
rs12048598	0.3942792844
rs706364	0.7788865074
rs17014326	0.2403669975
rs12095268	0.6868497725
rs863357	0.3138805283
rs10922166	0.5396061176
rs519975	0.9371953109
rs6678429	0.7470710234
rs10927236	0.640799389
rs7530548	0.9832753469
rs4141420	0.9810104222
rs856064	0.8527859728
rs367915	0.1938479781
rs6663838	0.0381654168
rs6703713	0.7817085787
rs1342389	0.5598912708
rs16852352	0.8615415204
rs12084977	0.7310913292
rs606684	0.1706117031
rs10736379	0.0722901434
rs10863396	0.571824389
rs10911364	0.9444123561
rs7551570	0.1077998112
rs10912235	0.0698481954
rs7543737	0.5195709528
rs7554975	0.7071598371
rs7553508	0.1682245976
rs1336577	0.7055908449
rs12742771	0.5457040475
rs17817463	0.6579025622
rs12082725	0.8603160776
rs7523383	0.3260115942
rs1591870	0.0305576802
rs12117865	0.5720076777
rs2518516	0.3872723897
rs17878476	0.5745727912
rs12145646	0.3246909664
rs7529913	0.9680295459
rs1674758	0.6037702695
rs10915274	0.304877154
rs3748785	0.659421165
rs2815209	0.4413915368
rs12042804	0.950601118
rs10799453	0.6219154168
rs11263987	0.8785996146
rs1249815	0.624178333
rs11265432	0.1493622455
rs1326266	0.0170310696
rs6671475	0.3045992173
rs6658410	0.1186901174
rs17034079	0.3434838426
rs4469718	0.4123594657
rs12116801	0.5919343064
rs4233536	0.0519702689
rs6424185	0.4548501197
rs285482	0.1335014595
rs1937263	0.1482824243
rs16836376	0.4507534384
rs4142763	0.1827216224
rs3125851	0.2906676351
rs10917307	0.4204150622
rs6541374	0.2166714755
rs3767794	0.3450904979
rs4987308	0.5405307463
rs11117752	0.9173769175
rs2501776	0.7763282048
rs338238	0.7139610801
rs17427767	0.4883355379
rs9436446	-0.0498444114
rs2184006	0.3592845492
rs10782835	0.4045382706
rs12128519	0.239607587
rs683016	0.4134693818
rs12126083	0.346996434
rs6426865	0.9931186352
rs9725625	0.5335372415
rs17463501	0.3380500268
rs12034213	0.4207233457
rs2073486	0.2533042018
rs884994	0.5419172183
rs1336129	0.6719921797
rs3845534	0.6897093999
rs12239202	0.4941657009
rs525362	0.7236533307
rs2781321	0.8817467652
rs2576267	0.1177013635
rs10919516	0.6232733023
rs1387898	0.4094937681
rs7516297	0.1896220328
rs12087005	0.0559215987
rs2989982	0.2020107656
rs10917275	0.1679062447
rs10494076	0.8587403508
rs712065	0.1512383314
rs1418103	0.918162197
rs961869	0.273391224
rs3748738	0.1610367472
rs2484245	0.7232979043
rs1251523	0.7765928924
rs4317851	0.2873347138
rs2132408	0.0236552136
rs6691566	0.7150288254
rs1926302	0.9970384095
rs903124	0.5807952179
rs6682623	0.7600778019
rs10798606	0.5678815221
rs12131818	0.4384226294
rs12405841	0.394201278
rs12040403	0.0082245277
rs7536179	0.8349940703
rs16838789	-0.0480764858
rs6604090	0.7028279811
rs12562556	0.0557190512
rs12134874	0.9042616222
rs12723610	0.7659988326
rs12122523	0.7239198881
rs2501253	0.2812724801
rs2805422	0.2685329455
rs10753294	0.297309168
rs12044611	0.8686295336
rs12737206	0.2923310275
rs12760347	0.6044066386
rs7541937	0.0757337528
rs475558	0.5123052096
rs11163562	0.8686295336
rs10465868	0.4819352058
rs6426588	0.5599832118
rs12731784	0.5890155861
rs3006994	0.7079071335
rs6695226	0.2216547214
rs6537662	0.2713868426
rs2391769	0.0667899827
rs7549930	0.146604303
rs11163087	0.1023373666
rs3124315	0.1438703816
rs7518941	0.9359555386
rs12407294	0.6308700002
rs6664523	0.311114572
rs504242	0.6588909692
rs3903872	0.081700303
rs1320566	0.3945922894
rs17100758	0.001927134
rs1391870	0.2387390279
rs542366	0.1439560073
rs10047112	0.2413425934
rs12743314	0.1834034569
rs6696419	0.2096504027
rs2205614	0.4134693818
rs10754675	0.6658045573
rs6428604	0.2792804657
rs2211297	0.0988202737
rs16838537	0.904197653
rs1078550	0.1281924244
rs12756229	0.6235448305
rs7518350	0.826658763
rs1612097	0.991289391
rs629112	0.0520069135
rs2643010	0.6773669769
rs1322916	-0.0113432803
rs2290138	0.0201855079
rs7548280	0.1228666025
rs2609480	0.782590288
rs1908232	0.1441149934
rs7521471	0.0773688062
rs11206629	0.2218756026
rs945792	0.8710789208
rs2500260	0.5632915448
rs2808473	0.6389955871
rs12036832	0.5969025549
rs6677517	0.9778742911
rs7532895	0.3436847578
rs9435500	0.7956294243
rs12133795	0.6837751353
rs1853433	0.2241288741
rs6674485	0.7402488817
rs951781	0.1078917859
rs6541231	0.4101730456
rs17425924	0.3100888366
rs7538588	0.8874276282
rs10732987	0.4670062757
rs11584168	0.7965097786
rs12744671	0.5575919869
rs10914043	0.2208588386
rs3124801	0.2992747762
rs1474925	0.7430848352
rs11580293	0.050108364
rs4074492	0.1428786635
rs12027815	0.2966878765
rs2636255	0.0253352442
rs6698236	0.2506213029
rs6660892	0.5922989983
rs7527911	0.9230478203
rs10443236	0.5372008996
rs10798814	0.2476088631
rs10737555	0.9484220907
rs10914899	0.4986587936
rs1343318	0.5903839992
rs1502342	0.5324779543
rs1321172	0.1263896727
rs11805334	0.3831238482
rs10493492	0.8401677493
rs17390391	0.3275125139
rs1981193	0.5880117868
rs10908651	0.0855276051
rs1627432	0.7277393802
rs10157739	0.059290084
rs16839632	0.5553832931
rs6680690	0.8544499598
rs12035637	0.397604926
rs6678323	0.0036835645
rs10924407	0.7495502305
rs2295994	0.3433212292
rs10736409	0.8774092022
rs830338	0.98344957
rs6684509	0.1743589371
rs530296	0.5578679782
rs11185271	0.4130818354
rs11799380	0.4344903506
rs10733064	0.3348215746
rs1448398	0.8667047342
rs4949387	0.6486367363
rs17109042	0.3413727868
rs7520022	0.7868212636
rs7545966	0.4296860168
rs213055	0.6713647747
rs4908686	0.6369391574
rs12080410	0.6348829527
rs7515041	0.8225327016
rs587414	0.3957648772
rs12027058	0.8339415211
rs2462553	0.1310163307
rs7542878	0.954435924
rs593942	0.8028459238
rs1764629	0.4649209693
rs1869971	0.2987625434
rs2221285	0.9611460446
rs12128329	0.9851917879
rs12038265	0.1064968967
rs4646491	0.8404307585
rs2339494	0.5969273008
rs34687810	0.6337607024
rs7517857	0.8431481898
rs10918573	0.8018781718
rs6682796	0.1217716675
rs12131841	0.1719020027
rs12135882	0.4437831687
rs6687963	0.2473933778
rs12135028	0.6366496284
rs2815319	0.0001530426
rs10489155	0.0111108141
rs7521481	0.078980729
rs10797991	0.7506124954
rs770693	0.722764729
rs9427526	0.4555163938
rs12748277	0.4700361331
rs10916424	0.1930501395
rs2807848	0.4780690867
rs1359494	0.5429336068
rs1926904	0.6852406067
rs12120216	0.574939095
rs7555734	0.85226046
rs7513857	0.0510839178
rs234659	0.0686114867
rs1796915	0.7571598371
rs11185212	0.3276354662
rs624017	0.8379757849
rs11204754	0.883407521
rs9431457	0.8879519214
rs12128724	0.5423792505
rs6658841	0.8751413729
rs4658158	0.5959441235
rs2923900	0.2504063964
rs12062586	0.6228207191
rs6681488	0.568340208
rs3768203	0.7490190414
rs3795801	0.0362815829
rs6682175	0.1938317897
rs6693042	0.3654466176
rs6683117	0.9782227552
rs9425442	0.1946450507
rs12136649	0.9356067566
rs10921495	0.9303745433
rs6677624	0.1778546758
rs2501779	0.8138364805
rs1252171	0.4759923456
rs11208350	0.8604911474
rs16839865	0.6950339095
rs7552345	0.0737855654
rs519932	0.7503469433
rs742482	0.6882797634
rs4661113	0.9017529283
rs35835790	0.8227961135
rs11810173	0.9273219815
rs663521	0.2671564864
rs2494264	0.317662662
rs4846216	0.1449092845
rs1660422	0.1192029453
rs1372379	0.3422778491
rs6587439	0.0217566593
rs4129514	0.5270057219
rs1144346	0.4795784588
rs1337046	0.1470181848
rs1779824	0.1398510223
rs1223758	0.5582359338
rs2025374	0.6328575498
rs7526955	0.0096881678
rs4845679	0.0260086103
rs6429606	0.1998642628
rs822828	0.7573367146
rs4653533	0.647737774
rs9988463	0.6651177962
rs722849	0.2614221149
rs4402086	0.216227259
rs12134227	0.5496711532
rs1198579	0.0980269287
rs2686240	0.232748243
rs6674964	0.3780053858
rs1853798	0.100696368
rs6690722	0.270008987
rs4657356	0.7200982088
rs10127775	0.7356380552
rs3120971	0.3587866934
rs11576332	0.6612264523
rs2782935	0.0333456781
rs11102185	0.5046483866
rs12045520	0.0145658403
rs737243	0.1592487731
rs3898790	0.9809233088
rs4657221	0.5256130117
rs1831298	0.6251736586
rs1899611	0.3931256113
rs11808209	0.8453392337
rs490061	0.9510369092
rs7521706	0.2412342375
rs946487	0.6816630519
rs4845333	0.9586189672
rs912766	0.8533114647
rs12142090	0.8658297425
rs1415363	0.7814440485
rs910330	0.8550629556
rs2197619	0.6448554852
rs12733185	0.7034519622
rs1924546	0.1487323747
rs6426479	0.0469711522
rs10920863	0.0501404292
rs3767569	0.5745727912
rs2187942	0.4513254687
rs1381889	0.3331038667
rs1051814	0.6430531937
rs305560	0.5650364069
rs1373333	0.5627403638
rs6427928	0.7390077997
rs16824765	0.0166551932
rs7554927	0.1623449008
rs6684310	0.1369790106
rs2225967	0.7200093062
rs1495195	0.1703768538
rs10494090	0.4841016536
rs11264609	0.7284497452
rs6662282	0.2523390873
rs3754515	0.9936412742
rs3912198	0.678620341
rs6671744	0.5392361955
rs12404046	0.3736637604
rs12130613	0.1649536676
rs10494432	0.4261244197
rs6428278	0.0797054451
rs12124232	0.3231697681
rs4447031	0.1325911633
rs7529218	0.976480421
rs3126098	0.3229623114
rs6694037	0.4321236592
rs7549264	0.1462754296
rs10737544	0.5309021449
rs2502308	0.1853739013
rs17598763	0.7120920967
rs12064582	0.8779875984
rs6689046	0.2611027334
rs10802360	0.3509020108
rs2975752	0.872828242
rs10189794	-0.0499898899
rs16849871	0.9191219487
rs2121895	0.9907667472
rs1510775	0.3853835266
rs10209105	0.6639199388
rs10206285	0.3904829273
rs763456	0.6527777532
rs10180231	0.6825576527
rs10192289	0.3373443435
rs4953602	0.0200518706
rs6754206	0.8727407807
rs6755570	0.7999423775
rs7607746	0.9317698907
rs12105749	0.7112909357
rs4477944	0.0879994223
rs12471305	0.2519098849
rs2696344	0.5674227798
rs10189842	0.7584863203
rs13018941	0.6660737337
rs10207537	0.0057423517
rs13014726	0.922349932
rs16848137	0.4504673742
rs1518663	0.1953306103
rs7574839	0.7604966181
rs10200693	0.192593886
rs13007239	0.6903347551
rs6740655	0.0937086234
rs1921814	0.5586958256
rs7424791	0.5022165653
rs1505360	0.3895032796
rs12472430	0.7879668067
rs10931264	0.2821103115
rs3748944	0.6019515432
rs12105811	0.7596357562
rs13426407	0.062714561
rs6708081	0.2265026653
rs17014915	0.6927462113
rs11894786	0.8562888639
rs7579199	0.1159240957
rs1921249	0.8308710431
rs6747065	0.412597306
rs1609217	0.9054199066
rs13412252	0.9367402838
rs10192657	0.0062659548
rs3769606	-0.0089223886
rs10178687	0.9511240669
rs12623864	0.1232352778
rs10177016	0.9162869654
rs3103272	0.3653473942
rs17289237	0.6296951403
rs2034679	0.5552912346
rs935177	0.4105136535
rs7608756	0.5644854871
rs3732311	0.7982702406
rs2724184	0.6642789657
rs13031083	0.3717859037
rs13410529	0.213111851
rs1025248	0.8670547163
rs6716566	0.1246565697
rs6716842	0.8184929174
rs2268373	0.9000938397
rs3820967	0.1824905622
rs3860492	0.2658845311
rs860455	0.196236919
rs2059359	0.1273611698
rs11692071	0.308959704
rs4312456	0.4847013502
rs2861377	0.7227982429
rs1918618	0.3037132049
rs10190202	0.5077321048
rs7604845	0.7579557542
rs13385699	0.2559808225
rs12995602	0.9210413401
rs1607256	0.6737843659
rs13405511	0.0281677855
rs11678846	0.1582932123
rs466146	0.0158221443
rs7569998	0.7105787074
rs10201054	0.8076832522
rs10490052	0.3351245118
rs16861511	0.3490003967
rs7576476	0.8344678075
rs11887959	0.0407220636
rs1434186	0.3738613213
rs1430307	0.4433050302
rs16841075	0.7970041724
rs2028370	0.0847042544
rs4465803	0.9731698856
rs6747786	0.1210811709
rs9283527	0.9910280693
rs726947	0.0950948064
rs12614753	0.1944173935
rs11679180	0.8275364508
rs12623539	0.4557701024
rs1517326	0.4496089851
rs6729848	0.7906978997
rs4257385	0.7312904658
